Public_ID	Family_ID	Zygosity	Sex	Duplicate	OtherTwin	NRD	nSNPs	Depth	Singletons	TsTv	Discord	Het	HomAlt	NumRelationsIBD0125	PiHat0125	PCAfail	SexCheck	ALSPAC_Pop_Strat_QC	ALSPAC_Relatedness_QC	ALSPAC_Other_QC	PhenoNum	SeqQCPass	PopQCPass	RelQCPass	CotwinQCPass	DuplicateQCPass	Pass
QTL212463	UK10K1402	Monozygotic	female	NA	NA	4.167	3442004	7.409	5237	2.088	2.4	24.11	12.4	8	QTL_RP333524,QTL212847,QTL218904,QTL218926,QTL218995,QTL219210,QTL212287,QTL212341	NA	NA	NA	NA	NA	30	yes	yes	no	yes	yes	no
UK10K_ALS5227361	NA	NA	male	NA	NA	0.768	3463552	6	33453	2.09	0.5	22.96	12.45	6	UK10K_ALS5227396,UK10K_ALS5227446,UK10K_25766,UK10K_ALS5086545,UK10K_ALS5086686,UK10K_ALS5227344	yes	NA	Failed_QC	NA	NA	25	yes	no	no	yes	yes	no
UK10K_ALS5227446	NA	NA	male	NA	NA	0.756	3482466	5	23370	2.094	0.5	24.08	11.82	6	UK10K_25766,UK10K_ALS5086340,UK10K_ALS5086686,UK10K_ALS5087164,UK10K_ALS5087186,UK10K_ALS5227361	yes	NA	Failed_QC	NA	NA	29	yes	no	no	yes	yes	no
QTL218995	UK10K1642	Dizygotic	female	NA	NA	3.499	3433075	6.773	5040	2.086	2.2	24.05	12.67	5	QTL_RP333524,QTL219210,QTL212463,QTL212847,QTL218904	NA	NA	NA	NA	NA	35	yes	yes	no	yes	yes	no
UK10K_ALS5086686	NA	NA	male	NA	NA	0.463	3514010	7.909	31603	2.088	0.2	25.14	11.57	4	UK10K_ALS5087164,UK10K_ALS5087186,UK10K_ALS5227361,UK10K_ALS5227446	yes	NA	Failed_QC	NA	NA	28	yes	no	no	yes	yes	no
QTL_RP333524	UK10K1516	Dizygotic	female	NA	NA	2.559	3447821	9.136	6840	2.088	1.33	23.5	12.65	3	QTL212463,QTL212847,QTL218995	NA	NA	NA	NA	NA	32	yes	yes	no	yes	yes	no
QTL212847	UK10K1259	Monozygotic	female	NA	NA	3.685	3405992	5.864	3856	2.091	2.3	23.16	12.51	3	QTL_RP333524,QTL218995,QTL212463	NA	NA	NA	NA	NA	33	yes	yes	no	yes	yes	no
UK10K_25766	UK10K259	Monozygotic	female	NA	NA	NA	3443621	5.909	29651	2.089	0.58	23.98	12.92	3	UK10K_ALS5227361,UK10K_ALS5227374,UK10K_ALS5227446	yes	NA	NA	NA	NA	21	yes	no	no	yes	yes	no
UK10K_ALS5087164	NA	NA	male	NA	NA	0.761	3388006	8.045	63331	2.09	0.5	20.37	15.03	3	UK10K_ALS5087186,UK10K_ALS5227446,UK10K_ALS5086686	yes	NA	Failed_QC	NA	NA	23	yes	no	yes	yes	yes	no
UK10K_ALS5087186	NA	NA	male	NA	NA	0.809	3384696	7.818	58674	2.089	0.6	20.78	14.32	3	UK10K_ALS5227446,UK10K_ALS5086686,UK10K_ALS5087164	yes	NA	Failed_QC	NA	NA	19	yes	no	no	yes	yes	no
QTL218904	UK10K1299	Dizygotic	female	NA	QTL218905	3.122	3433587	7.318	3013	2.086	1.81	24.45	12.03	2	QTL218905,QTL218995,QTL212463	NA	NA	NA	NA	NA	37	yes	yes	no	yes	yes	no
QTL218905	UK10K1299	Dizygotic	female	NA	QTL218904	0.38	3391451	5.955	3964	2.088	0.18	22.61	12.86	2	QTL218904	NA	NA	NA	NA	NA	NA	yes	yes	no	yes	yes	no
QTL219210	UK10K1088	Monozygotic	female	NA	NA	3.829	3420752	5	3804	2.092	2.06	23.22	12.32	2	QTL212463,QTL218995	NA	NA	NA	NA	NA	37	yes	yes	no	yes	yes	no
QTL_RP333581	UK10K744	Dizygotic	female	NA	NA	0.357	3398283	7	4335	2.09	0.19	24.64	12.44	1	UK10K_9434	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL190325	UK10K331	Dizygotic	female	NA	NA	1.36	3415020	7	3955	2.084	0.65	24.49	11.62	1	QTL211688	NA	NA	NA	NA	NA	38	yes	yes	no	yes	yes	no
QTL191192	UK10K1817	Dizygotic	female	NA	NA	0.175	3420268	19.136	6586	2.09	0.54	22.88	12.53	1	QTL210509	NA	NA	NA	NA	NA	36	yes	yes	no	yes	yes	no
QTL210224	UK10K135	Dizygotic	female	NA	NA	0.741	3403442	6.318	2741	2.084	0.37	24.5	12.47	1	QTL218908	NA	NA	NA	NA	NA	36	yes	yes	yes	yes	yes	yes
QTL210387	UK10K299	Dizygotic	female	NA	NA	0.779	3377806	5.864	4257	2.09	0.33	22.1	12.25	1	UK10K_ALS5086046	NA	NA	NA	NA	NA	38	yes	yes	yes	yes	yes	yes
QTL210509	UK10K57	Dizygotic	female	NA	NA	0.477	3393372	5.409	2941	2.091	0.25	23.63	12.13	1	QTL191192	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL211512	UK10K84	Monozygotic	female	NA	NA	0.433	3374363	5	2444	2.092	0.22	23	12.23	1	QTL211522	NA	NA	NA	NA	NA	37	yes	yes	yes	yes	yes	yes
QTL211522	UK10K90	Monozygotic	female	NA	NA	0.414	3374489	6	3473	2.089	0.19	23.58	12.38	1	QTL211512	NA	NA	NA	NA	NA	34	yes	yes	no	yes	yes	no
QTL211688	UK10K332	Monozygotic	female	NA	NA	0.556	3366387	4	2209	2.087	0.21	22.46	11.96	1	QTL190325	NA	NA	NA	NA	NA	39	yes	yes	yes	yes	yes	yes
QTL212287	UK10K374	Monozygotic	female	NA	NA	2.842	3431195	4.955	3482	2.091	1.62	23.33	12.23	1	QTL212463	NA	NA	NA	NA	NA	34	yes	yes	no	yes	yes	no
QTL212341	UK10K351	Monozygotic	female	NA	NA	2.734	3413346	5	3972	2.092	1.65	24.24	11.76	1	QTL212463	NA	NA	NA	NA	NA	33	yes	yes	no	yes	yes	no
QTL212640	UK10K1847	Monozygotic	female	NA	NA	0.323	3391986	6.955	2989	2.085	0.19	23.65	12.13	1	UK10K_ALS5086442	NA	NA	NA	NA	NA	38	yes	yes	no	yes	yes	no
QTL218908	UK10K1330	Dizygotic	female	NA	NA	0.364	3399646	6.545	3060	2.09	0.14	22.68	12.69	1	QTL210224	NA	NA	NA	NA	NA	32	yes	yes	no	yes	yes	no
QTL218926	UK10K224	Dizygotic	female	NA	NA	3.425	3434965	4.955	3842	2.09	1.83	24.76	11.74	1	QTL212463	NA	NA	NA	NA	NA	40	yes	yes	yes	yes	yes	yes
QTL219142	UK10K1538	Monozygotic	female	NA	NA	0.357	3401265	7.818	3909	2.084	0.18	23.72	12.78	1	UK10K_228394	NA	NA	NA	NA	NA	33	yes	yes	yes	yes	yes	yes
UK10K_228394	UK10K1414	Dizygotic	female	NA	NA	0.815	3392462	5.5	2803	2.089	0.59	22.98	12.29	1	QTL219142	NA	NA	NA	NA	NA	18	yes	yes	no	yes	yes	no
UK10K_298569	UK10K1723	Dizygotic	female	NA	NA	0.442	3394166	6	1763	2.087	0.17	24.03	12.59	1	UK10K_TW5093416,UK10K_TW5120489	NA	NA	NA	NA	NA	37	yes	yes	no	yes	yes	no
UK10K_469	UK10K1195	Dizygotic	female	NA	NA	NA	3387354	5.818	1098	2.093	0.24	22.96	12.75	1	UK10K_TW1538006	NA	NA	NA	NA	NA	35	yes	yes	no	yes	yes	no
UK10K_9434	UK10K745	Dizygotic	female	NA	NA	NA	3390972	5	2976	2.089	0.72	23.31	12.16	1	QTL_RP333581	NA	NA	NA	NA	NA	21	yes	yes	no	yes	yes	no
UK10K_ALS5085497	NA	NA	female	NA	NA	0.431	3404341	5	4244	2.091	0.2	22.11	12.59	1	UK10K_ALS5087291	NA	NA	NA	NA	NA	34	yes	yes	yes	yes	yes	yes
UK10K_ALS5085576	NA	NA	female	NA	NA	0.385	3406327	5.136	3356	2.092	0.2	23.46	12.2	1	UK10K_ALS5087277	NA	NA	NA	Failed_QC	NA	24	yes	yes	no	yes	yes	no
UK10K_ALS5085690	NA	NA	female	NA	NA	0.278	3398715	6	4288	2.088	0.2	22.77	12.73	1	UK10K_ALS5086917	NA	NA	NA	NA	NA	32	yes	yes	yes	yes	yes	yes
UK10K_ALS5085695	NA	NA	female	NA	NA	0.278	3391416	6	3938	2.093	0.2	22.77	12.87	1	UK10K_ALS5086230	NA	NA	NA	NA	NA	29	yes	yes	yes	yes	yes	yes
UK10K_ALS5085792	NA	NA	female	NA	NA	0.34	3388302	5.909	3119	2.094	0.2	22.53	12.13	1	UK10K_ALS5086599	NA	NA	NA	NA	NA	27	yes	yes	yes	yes	yes	yes
UK10K_ALS5085816	NA	NA	female	NA	NA	0.252	3376414	6.409	4611	2.094	0.2	23.01	12.27	1	UK10K_ALS5086289	NA	NA	NA	Failed_QC	NA	29	yes	yes	yes	yes	yes	yes
UK10K_ALS5085953	NA	NA	male	NA	NA	0.608	3386254	7	4963	2.089	0.3	24.04	12.33	1	UK10K_ALS5086410	NA	NA	NA	Failed_QC	NA	31	yes	yes	yes	yes	yes	yes
UK10K_ALS5086046	NA	NA	female	NA	NA	0.662	3391187	6.136	4326	2.091	0.3	24.04	11.91	1	QTL210387	NA	NA	NA	NA	NA	31	yes	yes	no	yes	yes	no
UK10K_ALS5086092	NA	NA	female	NA	NA	0.26	3394818	7.045	5088	2.09	0.1	23.77	11.98	1	UK10K_ALS5087194	NA	NA	NA	NA	NA	31	yes	yes	yes	yes	yes	yes
UK10K_ALS5086113	NA	NA	female	NA	NA	0.218	3385552	7.273	5075	2.091	0.1	24.59	11.86	1	UK10K_ALS5087184	NA	NA	NA	NA	NA	29	yes	yes	yes	yes	yes	yes
UK10K_ALS5086121	NA	NA	female	NA	NA	0.39	3390593	5.273	3810	2.086	0.2	24.72	11.78	1	UK10K_ALS5086564	NA	NA	NA	NA	NA	29	yes	yes	yes	yes	yes	yes
UK10K_ALS5086148	NA	NA	female	NA	NA	0.27	3378432	6.545	4626	2.092	0.1	24.01	12.34	1	UK10K_ALS5087297	NA	NA	NA	NA	NA	20	yes	yes	no	yes	yes	no
