// This is an input file for Hudson's mssel stepftn.c program
10 N0: 50000
1
n:	50 s: 0.000000 age: 0.00074
0	0.0045
1.5e-05	0.0035
2e-05	0.0045
2.5e-05	0.0035
5.5e-05	0.0025
7e-05	0.0035
7.5e-05	0.0025
9e-05	0.0035
0.000145	0.0045
0.00015	0.0035
0.00017	0.0045
0.000175	0.0035
0.000215	0.0045
0.00025	0.0035
0.00026	0.0045
0.000265	0.0035
0.00028	0.0045
0.000285	0.0035
0.000335	0.0025
0.000355	0.0015
0.00036	0.0025
0.000435	0.0035
0.000445	0.0025
0.00051	0.0035
0.000515	0.0045
0.00052	0.0055
0.000525	0.0045
0.000535	0.0055
0.000545	0.0045
0.000555	0.0055
0.000565	0.0045
0.00057	0.0035
0.000575	0.0045
0.00058	0.0035
0.000595	0.0045
0.000605	0.0035
0.00062	0.0045
0.000625	0.0055
0.00063	0.0045
0.000635	0.0055
0.00064	0.0045
0.000655	0.0055
0.00066	0.0045
0.000665	0.0055
0.00068	0.0045
0.000685	0.0035
0.000705	0.0025
0.00071	0.0015
0.000725	0.0005
0.00074	0
n:	76 s: 0.000000 age: 0.000985
0	0.0085
3e-05	0.0095
3.5e-05	0.0085
6e-05	0.0095
6.5e-05	0.0085
7e-05	0.0095
8.5e-05	0.01125
9e-05	0.0095
0.00011	0.01125
0.000125	0.0095
0.00014	0.01125
0.000155	0.0095
0.00016	0.0085
0.00026	0.0095
0.000265	0.0085
0.00027	0.0095
0.00028	0.0085
0.000295	0.0095
0.00031	0.0085
0.00036	0.0095
0.000365	0.0085
0.00037	0.0095
0.000375	0.0085
0.00041	0.0095
0.000435	0.0085
0.00044	0.0095
0.00045	0.0085
0.000455	0.0095
0.000465	0.0085
0.00048	0.0075
0.000505	0.0085
0.00051	0.0095
0.000515	0.01125
0.00053	0.0095
0.000535	0.0085
0.00054	0.0075
0.00055	0.0065
0.000555	0.0055
0.00056	0.0045
0.000595	0.0035
0.00062	0.0025
0.000625	0.0035
0.000635	0.0025
0.00064	0.0035
0.000665	0.0045
0.00067	0.0035
0.000675	0.0045
0.00068	0.0055
0.00069	0.0045
0.000695	0.0035
0.0007	0.0045
0.00073	0.0035
0.00075	0.0025
0.000755	0.0035
0.00076	0.0045
0.000765	0.0035
0.00078	0.0025
0.00079	0.0015
0.0008	0.0005
0.000815	0.0015
0.00082	0.0025
0.000825	0.0015
0.00083	0.0025
0.000835	0.0015
0.000845	0.0025
0.00085	0.0015
0.000855	0.0025
0.000865	0.0035
0.000885	0.0025
0.00089	0.0035
0.000905	0.0045
0.000915	0.0035
0.00092	0.0025
0.000925	0.0015
0.00094	0.0005
0.000985	0
n:	1094 s: 0.000000 age: 0.019455
0	0.01125
3e-05	0.0095
3.5e-05	0.01125
9.5e-05	0.01375
0.0001	0.01125
0.000105	0.01375
0.00011	0.01125
0.00032	0.01375
0.000325	0.01125
0.00033	0.01375
0.000385	0.01125
0.000395	0.01375
0.00041	0.01125
0.000415	0.01375
0.000465	0.01125
0.00051	0.01375
0.000515	0.01125
0.00052	0.01375
0.000525	0.01125
0.000555	0.01375
0.00056	0.0175
0.000575	0.01375
0.000615	0.0175
0.00063	0.025
0.000765	0.035
0.00077	0.025
0.000805	0.035
