"" "P_sj_given_DemHistory_Frequency" "P_sj"
"0-5" 0.679423970438442 0.300438340194923
"5-10" 0.0696890960635413 0.0327157734445215
"10-15" 0.04205310712481 0.0213532904439252
"15-20" 0.0298817946054237 0.0154645302717982
"20-25" 0.0229028646709212 0.01254946325387
"25-30" 0.0183470489388867 0.0110713951775521
"30-35" 0.0151311313101207 0.00950051011242135
"35-40" 0.0127388704821079 0.00863423945346679
"40-45" 0.0108911963012863 0.00830977209943604
"45-50" 0.00942332207127572 0.00801981814592521
"50-55" 0.00823134310516382 0.0073512686129604
"55-60" 0.00724632740642051 0.00665131962642996
"60-65" 0.00642065109339551 0.00660400204474334
"65-70" 0.00572030277243307 0.00591111239526661
"70-75" 0.00512031304064453 0.00597222673909831
"75-80" 0.00460191807156862 0.00650698994219214
"80-85" 0.00415073300286017 0.00561771307568928
"85-90" 0.0037555378463765 0.00519844442721226
"90-95" 0.00340744816352656 0.00612956766446358
"95-100" 0.00309933487992775 0.00630690526695737
"100-105" 0.00282540976402124 0.00575672649464704
"105-110" 0.00258092368000384 0.0057701182633738
"110-115" 0.00236194323250249 0.00539915914245461
"115-120" 0.0021651829333994 0.00619949226839846
"120-125" 0.00198787736285166 0.00885656055902605
"125-130" 0.0018276825836312 0.00559546618407913
"130-135" 0.00168259925277792 0.0075820284349696
"135-140" 0.00155091203268487 0.00752801248630738
"140-145" 0.00143114139073075 0.00722335718073689
"145-150" 0.00132200491701295 0.00698089773621413
">150" 0.00122238602804037 0.0180280114612513
