""	"P_sj_given_DemHistory_Frequency"	"P_sj"
"0-5"	0.612473988605717	0.270833347888095
"5-10"	0.0480596436126635	0.0225617564449786
"10-15"	0.0296424281673248	0.0150515246410091
"15-20"	0.0216911624023949	0.0112256858074194
"20-25"	0.0171803468731971	0.0094138499647021
"25-30"	0.0142513342911824	0.00859986552990867
"30-35"	0.0121867904164673	0.00765182214182265
"35-40"	0.0106485571419792	0.00721745246777633
"40-45"	0.00945554326542108	0.00721439660423038
"45-50"	0.00850170662588146	0.00723546755102537
"50-55"	0.00772068651916114	0.00689521014416348
"55-60"	0.00706876098719966	0.00648833347594054
"60-65"	0.00651591413734609	0.00670198546229506
"65-70"	0.00604083419534518	0.00624233564382943
"70-75"	0.00562795869438415	0.0065643340815957
"75-80"	0.00526565000281909	0.00744548926655895
"80-85"	0.00494502603367686	0.00669273051045876
"85-90"	0.00465918662915676	0.00644928203587426
"90-95"	0.00440268745391559	0.00791987709251916
"95-100"	0.00417117350888996	0.00848801345830187
"100-105"	0.00396111837294388	0.00807071433543323
"105-110"	0.00376963514805118	0.0084276961703856
"110-115"	0.00359433706567824	0.00821628460928714
"115-120"	0.00343323314182775	0.00983025590588483
"120-125"	0.0032846489913041	0.0146340479801516
"125-130"	0.0031471659821658	0.00963507612678897
"130-135"	0.00301957394809205	0.0136066240955054
"135-140"	0.00290083405258856	0.0140804342918071
"140-145"	0.00279004934457316	0.0140821326937112
"145-150"	0.00268644120467343	0.0141858559547198
">150"	0.126903583183979	0.44833811762382
