// This is an input file for Hudson's mssel stepftn.c program
1 N0: 50000
1
n:	81 s: 0.000000 age: 0.001155
0	0.0095
7.5e-05	0.0085
8e-05	0.0095
9.5e-05	0.0085
0.0001	0.0095
0.000105	0.0085
0.000125	0.0095
0.000135	0.0085
0.00017	0.0075
0.00023	0.0085
0.000275	0.0075
0.000305	0.0085
0.00031	0.0075
0.000315	0.0085
0.000335	0.0075
0.000345	0.0065
0.00035	0.0075
0.000365	0.0085
0.000415	0.0095
0.000435	0.0085
0.000445	0.0095
0.000455	0.01125
0.000475	0.0095
0.000505	0.01125
0.000525	0.0095
0.00053	0.0085
0.000535	0.0075
0.00054	0.0085
0.000545	0.0075
0.000555	0.0085
0.000565	0.0095
0.00058	0.0085
0.000585	0.0075
0.00059	0.0085
0.000605	0.0095
0.00061	0.0085
0.00062	0.0095
0.00063	0.01125
0.00064	0.0095
0.00065	0.0085
0.000655	0.0095
0.00066	0.01125
0.00067	0.01375
0.00068	0.01125
0.000725	0.0095
0.000735	0.01125
0.00074	0.0095
0.000745	0.01125
0.00075	0.01375
0.000765	0.01125
0.000795	0.0095
0.0008	0.01125
0.000805	0.0095
0.000815	0.01125
0.000825	0.0095
0.00083	0.0085
0.00084	0.0075
0.000845	0.0065
0.000865	0.0075
0.000885	0.0065
0.00089	0.0055
0.0009	0.0045
0.000915	0.0035
0.000925	0.0025
0.00093	0.0015
0.00097	0.0005
0.000975	0.0015
0.00098	0.0025
0.000985	0.0015
0.000995	0.0025
0.001	0.0015
0.00101	0.0025
0.001015	0.0015
0.00102	0.0005
0.00103	0.0015
0.00107	0.0005
0.00108	0.0015
0.001085	0.0005
0.00109	0.0015
0.001135	0.0005
0.001155	0
