// This is an input file for Hudson's mssel stepftn.c program
10169 N0: 10000
1
n:	102 s: 0.000000 age: 0.011500
0.000000	0.008750
0.000600	0.011250
0.000650	0.008750
0.000700	0.011250
0.000725	0.008750
0.000775	0.011250
0.000825	0.008750
0.001050	0.006250
0.001075	0.008750
0.001125	0.006250
0.001725	0.004500
0.001900	0.006250
0.001975	0.008750
0.002100	0.011250
0.002150	0.013750
0.002175	0.011250
0.002400	0.013750
0.002550	0.017500
0.002575	0.013750
0.002625	0.017500
0.002700	0.013750
0.002775	0.017500
0.002825	0.013750
0.002875	0.017500
0.002950	0.013750
0.002975	0.017500
0.003000	0.013750
0.003025	0.017500
0.003075	0.013750
0.003100	0.017500
0.003375	0.013750
0.003400	0.017500
0.003675	0.013750
0.003725	0.011250
0.003875	0.008750
0.004275	0.011250
0.004325	0.008750
0.004375	0.011250
0.004400	0.008750
0.004650	0.006250
0.005050	0.004500
0.005175	0.006250
0.005525	0.008750
0.006000	0.011250
0.006100	0.008750
0.006175	0.011250
0.006275	0.008750
0.006300	0.011250
0.006350	0.008750
0.006550	0.006250
0.006825	0.008750
0.007325	0.006250
0.007500	0.004500
0.007550	0.006250
0.007625	0.004500
0.007650	0.003500
0.007700	0.004500
0.007725	0.003500
0.007925	0.004500
0.008000	0.006250
0.008025	0.004500
0.008050	0.006250
0.008100	0.004500
0.008175	0.006250
0.008225	0.004500
0.008275	0.003500
0.008375	0.004500
0.008450	0.003500
0.008475	0.002500
0.008825	0.003500
0.008925	0.002500
0.009025	0.001500
0.009050	0.002500
0.009250	0.003500
0.009275	0.002500
0.009300	0.003500
0.009400	0.004500
0.009450	0.003500
0.009475	0.004500
0.009575	0.003500
0.009600	0.004500
0.009675	0.006250
0.009725	0.004500
0.009750	0.006250
0.009775	0.004500
0.009800	0.006250
0.009850	0.004500
0.009900	0.003500
0.010000	0.002500
0.010100	0.003500
0.010125	0.002500
0.010150	0.003500
0.010225	0.002500
0.010275	0.001500
0.010375	0.002500
0.010525	0.001500
0.010550	0.002500
0.010775	0.001500
0.010900	0.000500
0.010925	0.001500
0.011175	0.000500
0.011500	0.000000
n:	38 s: 0.000000 age: 0.004350
0.000000	0.008750
0.000050	0.006250
0.000500	0.004500
0.000550	0.006250
0.000600	0.004500
0.000625	0.003500
0.000700	0.002500
0.000925	0.001500
0.000950	0.002500
0.001100	0.003500
0.001150	0.002500
0.001225	0.003500
0.001325	0.002500
0.001475	0.003500
0.001675	0.002500
0.001750	0.003500
0.001825	0.002500
0.001875	0.003500
0.002075	0.004500
0.002100	0.003500
0.002125	0.004500
0.002225	0.003500
0.002275	0.002500
0.002325	0.003500
0.002400	0.002500
0.002450	0.003500
0.002525	0.002500
0.002650	0.001500
0.003000	0.002500
0.003150	0.003500
0.003225	0.004500
0.003350	0.003500
0.003450	0.002500
0.003625	0.001500
0.003675	0.002500
0.003925	0.001500
0.004125	0.000500
0.004350	0.000000
n:	220 s: 0.000000 age: 0.066325
0.000000	0.011250
