//This is an input file for Hudson's mssel stepftn.c program
1 N0: 1.5
1
n:	55 s: 0.000000 age: 0.000331
0.000000	0.006500
0.000006	0.005500
0.000027	0.006500
0.000036	0.005500
0.000064	0.004500
0.000076	0.005500
0.000100	0.004500
0.000106	0.005500
0.000128	0.004500
0.000149	0.005500
0.000155	0.007500
0.000158	0.009500
0.000161	0.004500
0.000164	0.007500
0.000173	0.004500
0.000176	0.007500
0.000182	0.009500
0.000185	0.008500
0.000192	0.005500
0.000195	0.008500
0.000201	0.007500
0.000204	0.004500
0.000207	0.007500
0.000213	0.008500
0.000216	0.011250
0.000219	0.008500
0.000222	0.011250
0.000225	0.017500
0.000228	0.013750
0.000231	0.011250
0.000234	0.017500
0.000240	0.013750
0.000243	0.011250
0.000249	0.007500
0.000252	0.013750
0.000255	0.009500
0.000258	0.013750
0.000261	0.011250
0.000268	0.005500
0.000271	0.004500
0.000274	0.005500
0.000277	0.001500
0.000280	0.003500
0.000286	0.002500
0.000289	0.003500
0.000292	0.004500
0.000295	0.003500
0.000298	0.004500
0.000301	0.002500
0.000307	0.003500
0.000313	0.007500
0.000322	0.002500
0.000325	0.003500
0.000328	0.000500
0.000331	0.000000
