REP	0
TRA	0	0.0095
TRA	2.5e-05	0.01125
TRA	0.0002	0.0095
TRA	0.000225	0.0085
TRA	0.000275	0.0075
TRA	0.0003	0.0085
TRA	0.000325	0.0075
TRA	0.00035	0.0065
TRA	0.000475	0.0075
TRA	0.000525	0.0085
TRA	0.00055	0.0095
TRA	0.000575	0.0085
TRA	0.0006	0.0095
TRA	0.00065	0.0085
TRA	0.0007	0.0075
TRA	0.000725	0.0085
TRA	0.000775	0.0075
TRA	0.000825	0.0085
TRA	0.000875	0.0075
TRA	0.0009	0.0085
TRA	0.000925	0.0095
TRA	0.00095	0.01125
TRA	0.001	0.01375
TRA	0.001025	0.01125
TRA	0.001525	0.0095
TRA	0.00155	0.01125
TRA	0.001775	0.01375
TRA	0.001875	0.01125
TRA	0.0019	0.01375
TRA	0.002125	0.0175
TRA	0.00215	0.01375
TRA	0.0023	0.0175
TRA	0.002325	0.01375
TRA	0.002425	0.0175
TRA	0.00245	0.01375
TRA	0.0027	0.0175
TRA	0.002725	0.01375
TRA	0.0028	0.0175
TRA	0.0029	0.01375
TRA	0.003025	0.01125
TRA	0.0031	0.01375
TRA	0.003225	0.01125
TRA	0.003275	0.01375
TRA	0.003425	0.0175
TRA	0.00345	0.01375
TRA	0.003475	0.0175
TRA	0.00355	0.01375
TRA	0.0036	0.0175
TRA	0.003675	0.01375
TRA	0.00375	0.0175
TRA	0.003775	0.01375
TRA	0.004	0.01125
TRA	0.00405	0.01375
TRA	0.004125	0.01125
TRA	0.004225	0.01375
TRA	0.004275	0.01125
TRA	0.004425	0.01375
TRA	0.004525	0.0175
TRA	0.005275	0.01375
TRA	0.005425	0.0175
TRA	0.005625	0.01375
TRA	0.005675	0.0175
TRA	0.0059	0.01375
TRA	0.006075	0.01125
TRA	0.0061	0.01375
TRA	0.0062	0.01125
TRA	0.00625	0.01375
TRA	0.006475	0.01125
TRA	0.00665	0.0095
TRA	0.006675	0.0085
TRA	0.006725	0.0095
TRA	0.006775	0.01125
TRA	0.0069	0.0095
TRA	0.006975	0.01125
TRA	0.00705	0.0095
TRA	0.007125	0.0085
TRA	0.00715	0.0095
TRA	0.007175	0.0085
TRA	0.0072	0.0095
TRA	0.007225	0.01125
TRA	0.00725	0.0095
TRA	0.007375	0.0085
TRA	0.00745	0.0075
TRA	0.0075	0.0085
TRA	0.007575	0.0075
TRA	0.007625	0.0085
TRA	0.007675	0.0075
TRA	0.00775	0.0085
TRA	0.007775	0.0095
TRA	0.007825	0.01125
TRA	0.0079	0.0095
TRA	0.007925	0.0085
TRA	0.00795	0.0075
TRA	0.008	0.0065
TRA	0.0081	0.0075
TRA	0.0082	0.0065
TRA	0.00825	0.0055
TRA	0.008375	0.0045
TRA	0.008475	0.0035
TRA	0.008625	0.0045
TRA	0.008675	0.0035
TRA	0.0087	0.0045
TRA	0.00875	0.0035
TRA	0.008825	0.0025
TRA	0.009	0.0015
TRA	0.00935	0.0005
TRA	0.009375	0.0015
TRA	0.009875	0.0005
TRA	0.0099	0.0015
TRA	0.009975	0.0005
TRA	0.01	0.0015
TRA	0.01005	0.0005
TRA	0.010075	0.0015
TRA	0.0102	0.0005
TRA	0.010675		0
TOT	426
REP	1
TRA	0	0.0095
TRA	7.5e-05	0.0085
TRA	0.00015	0.0095
TRA	0.0002	0.01125
TRA	0.000225	0.0095
TRA	0.00025	0.0085
TRA	0.000325	0.0095
TRA	0.0004	0.0085
TRA	0.000425	0.0095
TRA	0.000525	0.01125
TRA	0.0007	0.0095
TRA	0.000725	0.01125
TRA	0.000925	0.0095
TRA	0.00095	0.0085
TRA	0.000975	0.0095
TRA	0.0012	0.01125
TRA	0.0013	0.0095
TRA	0.001325	0.01125
TRA	0.00135	0.0095
TRA	0.001375	0.0085
TRA	0.001425	0.0075
TRA	0.00155	0.0085
TRA	0.001575	0.0095
TRA	0.0016	0.0085
TRA	0.00165	0.0075
TRA	0.001675	0.0065
TRA	0.001725	0.0055
TRA	0.001775	0.0045
TRA	0.0018	0.0055
TRA	0.001875	0.0045
TRA	0.001925	0.0035
TRA	0.00195	0.0025
TRA	0.001975	0.0035
TRA	0.002125	0.0025
TRA	0.0022	0.0035
TRA	0.002225	0.0025
TRA	0.00225	0.0035
TRA	0.0023	0.0025
TRA	0.002375	0.0015
TRA	0.0027	0.0005
TRA	0.00275	0.0015
TRA	0.002775	0.0005
TRA	0.002875	0.0015
TRA	0.002975	0.0025
TRA	0.00315	0.0035
TRA	0.003175	0.0025
TRA	0.0032	0.0035
TRA	0.00325	0.0025
TRA	0.003375	0.0015
TRA	0.0034	0.0025
TRA	0.003425	0.0015
TRA	0.0035	0.0005
TRA	0.003525	0.0015
TRA	0.0036	0.0005
TRA	0.0037	0.0015
TRA	0.003725	0.0005
TRA	0.00385	0.0015
TRA	0.004025	0.0005
TRA	0.0048		0
TOT	191
REP	2
TRA	0	0.0095
TRA	2.5e-05	0.01125
TRA	7.5e-05	0.0095
TRA	0.0002	0.0085
TRA	0.000275	0.0075
TRA	0.0003	0.0085
TRA	0.00035	0.0075
TRA	0.000475	0.0065
TRA	0.0005	0.0055
TRA	0.0006	0.0065
TRA	0.000625	0.0075
TRA	0.000675	0.0085
TRA	0.000725	0.0075
TRA	0.0008	0.0065
TRA	0.000825	0.0075
TRA	0.00085	0.0085
TRA	0.0009	0.0075
TRA	0.000925	0.0065
TRA	0.00095	0.0075
TRA	0.001	0.0085
TRA	0.00105	0.0075
TRA	0.0011	0.0085
TRA	0.001175	0.0095
TRA	0.001225	0.0085
TRA	0.001275	0.0075
TRA	0.00135	0.0065
TRA	0.001375	0.0075
TRA	0.0014	0.0065
TRA	0.001425	0.0075
TRA	0.00145	0.0065
TRA	0.0015	0.0075
TRA	0.001525	0.0065
TRA	0.001575	0.0055
TRA	0.001625	0.0065
TRA	0.001725	0.0055
TRA	0.001825	0.0065
TRA	0.00185	0.0075
TRA	0.001875	0.0065
TRA	0.0019	0.0075
TRA	0.001925	0.0065
TRA	0.002	0.0075
TRA	0.002025	0.0065
TRA	0.002125	0.0055
TRA	0.00215	0.0065
TRA	0.0023	0.0075
TRA	0.002325	0.0065
