#filter: (gap.type = 'telomere' OR gap.type = 'centromere')
#bin	chrom	chromStart	chromEnd	ix	n	size	type	bridge
23	chr1	121535434	124535434	1270	N	3000000	centromere	no
585	chr1	0	10000	1	N	10000	telomere	no
2486	chr1	249240621	249250621	2302	N	10000	telomere	no
20	chr2	92326171	95326171	770	N	3000000	centromere	no
585	chr2	0	10000	1	N	10000	telomere	no
2440	chr2	243189373	243199373	2027	N	10000	telomere	no
2	chr3	90504854	93504854	784	N	3000000	centromere	no
585	chr3	0	10000	1	N	10000	telomere	no
2095	chr3	198012430	198022430	1733	N	10000	telomere	no
1	chr4	49660117	52660117	447	N	3000000	centromere	no
585	chr4	0	10000	1	N	10000	telomere	no
2043	chr4	191144276	191154276	1658	N	10000	telomere	no
14	chr5	46405641	49405641	452	N	3000000	centromere	no
585	chr5	0	10000	1	N	10000	telomere	no
1965	chr5	180905260	180915260	1775	N	10000	telomere	no
585	chr6	0	10000	1	N	10000	telomere	no
16	chr6	58830166	61830166	628	N	3000000	centromere	no
1890	chr6	171105067	171115067	1798	N	10000	telomere	no
1	chr7	58054331	61054331	564	N	3000000	centromere	no
585	chr7	0	10000	1	N	10000	telomere	no
1799	chr7	159128663	159138663	1563	N	10000	telomere	no
14	chr8	43838887	46838887	376	N	3000000	centromere	no
585	chr8	0	10000	1	N	10000	telomere	no
1701	chr8	146354022	146364022	1217	N	10000	telomere	no
585	chr9	0	10000	1	N	10000	telomere	no
1	chr9	47367679	50367679	411	N	3000000	centromere	no
1662	chr9	141203431	141213431	1058	N	10000	telomere	no
585	chrX	0	10000	1	N	10000	telomere	no
1	chrX	58632012	61632012	583	N	3000000	centromere	no
1769	chrX	155260560	155270560	1668	N	10000	telomere	no
585	chrY	0	10000	1	N	10000	telomere	no
10	chrY	10104553	13104553	105	N	3000000	centromere	no
1037	chrY	59363566	59373566	255	N	10000	telomere	no
1	chr10	39254935	42254935	341	N	3000000	centromere	no
202	chr10	135524747	135534747	1156	N	10000	telomere	no
585	chr10	0	10000	1	N	10000	telomere	no
15	chr11	51644205	54644205	447	N	3000000	centromere	no
201	chr11	134996516	135006516	1135	N	10000	telomere	no
585	chr11	0	10000	1	N	10000	telomere	no
585	chr12	0	10000	1	N	10000	telomere	no
13	chr12	34856694	37856694	304	N	3000000	centromere	no
1606	chr12	133841895	133851895	1183	N	10000	telomere	no
1	chr13	16000000	19000000	3	N	3000000	centromere	no
585	chr13	0	10000	1	N	10000	telomere	no
1463	chr13	115159878	115169878	876	N	10000	telomere	no
585	chr14	0	10000	1	N	10000	telomere	no
1	chr14	16000000	19000000	3	N	3000000	centromere	no
175	chr14	107339540	107349540	668	N	10000	telomere	no
11	chr15	17000000	20000000	3	N	3000000	centromere	no
585	chr15	0	10000	1	N	10000	telomere	no
1367	chr15	102521392	102531392	690	N	10000	telomere	no
13	chr16	35335801	38335801	354	N	3000000	centromere	no
585	chr16	0	10000	1	N	10000	telomere	no
1274	chr16	90344753	90354753	732	N	10000	telomere	no
1	chr17	22263006	25263006	192	N	3000000	centromere	no
1	chr18	15460898	18460898	125	N	3000000	centromere	no
585	chr18	0	10000	1	N	10000	telomere	no
1180	chr18	78067248	78077248	605	N	10000	telomere	no
585	chr19	0	10000	1	N	10000	telomere	no
1	chr19	24681782	27681782	410	N	3000000	centromere	no
1036	chr19	59118983	59128983	870	N	10000	telomere	no
585	chr20	0	10000	1	N	10000	telomere	no
12	chr20	26369569	29369569	275	N	3000000	centromere	no
1065	chr20	63015520	63025520	649	N	10000	telomere	no
10	chr21	11288129	14288129	22	N	3000000	centromere	no
585	chr21	0	10000	1	N	10000	telomere	no
952	chr21	48119895	48129895	515	N	10000	telomere	no
585	chr22	0	10000	1	N	10000	telomere	no
10	chr22	13000000	16000000	3	N	3000000	centromere	no
976	chr22	51294566	51304566	592	N	10000	telomere	no

